prompt_id,error_type,prompt_tokens,chosen_tokens,rejected_tokens,length_delta,normalized_length_delta,token_edit_distance,step_count_delta,final_answer_correct,numeric_delta,error_node_depth,num_nodes_changed,num_edges_changed,op,dag_depth
1_p29,computation,114,140,140,0,0.0,8,0,False,1.0,,,,10,2
16_p11,computation,113,134,134,0,0.0,9,0,False,-4.0,,,,10,2
2_p0,computation,118,134,134,0,0.0,8,0,False,1.0,,,,10,2
13_p39,computation,115,231,231,0,0.0,10,0,False,-1.0,,,,10,2
6_p1,computation,104,130,130,0,0.0,4,0,False,1.0,,,,10,2
9_p18,computation,121,134,134,0,0.0,8,0,False,1.0,,,,10,2
4_p38,computation,110,142,142,0,0.0,7,0,False,1.0,,,,10,2
0_p44,computation,104,129,129,0,0.0,4,0,False,1.0,,,,10,2
10_p40,computation,108,135,135,0,0.0,9,0,False,1.0,,,,10,2
17_p0,computation,105,126,126,0,0.0,4,0,False,-1.0,,,,10,2
2_p18,computation,107,132,132,0,0.0,8,0,False,1.0,,,,10,2
0_p12,computation,117,133,133,0,0.0,4,0,False,1.0,,,,10,2
20_p10,computation,108,135,135,0,0.0,5,0,False,4.0,,,,10,2
14_p36,computation,110,130,130,0,0.0,2,0,False,1.0,,,,10,2
14_p6,computation,117,146,146,0,0.0,6,0,False,1.0,,,,10,2
2_p4,computation,109,138,138,0,0.0,6,0,False,3.0,,,,10,2
4_p37,computation,107,132,132,0,0.0,6,0,False,3.0,,,,10,2
8_p19,computation,108,136,136,0,0.0,3,0,False,1.0,,,,10,2
6_p4,computation,115,255,259,4,0.01568627450980392,5,0,False,0.3330000000000002,,,,10,2
14_p21,computation,116,136,136,0,0.0,10,0,False,2.0,,,,10,2
20_p9,computation,110,271,275,4,0.014760147601476014,9,0,False,5.0,,,,10,2
12_p32,computation,107,132,132,0,0.0,6,0,False,2.0,,,,10,2
22_p4,computation,106,127,127,0,0.0,10,0,False,3.0,,,,10,2
21_p11,computation,113,134,134,0,0.0,12,0,False,2.0,,,,10,2
13_p43,computation,118,151,151,0,0.0,7,0,False,1.0,,,,10,2
3_p26,computation,105,129,129,0,0.0,10,0,False,2.0,,,,10,2
17_p16,computation,115,253,257,4,0.015810276679841896,15,0,False,-0.4289999999999998,,,,10,2
22_p34,computation,114,134,134,0,0.0,10,0,False,3.0,,,,10,2
10_p7,computation,113,134,134,0,0.0,8,0,False,4.0,,,,10,2
7_p11,computation,112,145,145,0,0.0,7,0,False,1.0,,,,10,2
13_p21,computation,105,126,126,0,0.0,4,0,False,-1.0,,,,10,2
8_p1,computation,107,142,142,0,0.0,4,0,False,1.0,,,,10,2
9_p47,computation,106,156,156,0,0.0,2,0,False,-1.0,,,,10,2
15_p30,computation,114,147,147,0,0.0,7,0,False,3.0,,,,10,2
1_p32,computation,122,134,134,0,0.0,10,0,False,2.0,,,,10,2
21_p27,computation,121,134,134,0,0.0,8,0,False,3.0,,,,10,2
6_p13,computation,105,131,131,0,0.0,10,0,False,1.0,,,,10,2
16_p42,computation,106,126,126,0,0.0,10,0,False,2.0,,,,10,2
3_p20,computation,106,127,127,0,0.0,8,0,False,-1.0,,,,10,2
14_p45,computation,113,134,134,0,0.0,8,0,False,1.0,,,,10,2
2_p30,computation,106,132,132,0,0.0,8,0,False,1.0,,,,10,2
19_p4,computation,109,128,128,0,0.0,10,0,False,2.0,,,,10,2
21_p29,computation,114,132,132,0,0.0,10,0,False,2.0,,,,10,2
18_p24,computation,112,243,243,0,0.0,13,0,False,-3.0,,,,10,2
9_p2,computation,118,130,130,0,0.0,9,0,False,2.0,,,,10,2
19_p45,computation,112,247,254,7,0.02834008097165992,17,0,False,-2.0,,,,10,2
4_p6,computation,111,130,130,0,0.0,6,0,False,1.0,,,,10,2
21_p40,computation,114,134,134,0,0.0,12,0,False,-2.0,,,,10,2
0_p20,computation,107,131,131,0,0.0,6,0,False,-1.0,,,,10,2
4_p31,computation,106,132,132,0,0.0,8,0,False,2.0,,,,10,2
6_p20,computation,115,235,235,0,0.0,14,0,False,-2.0,,,,10,2
22_p44,computation,106,129,129,0,0.0,10,0,False,2.0,,,,10,2
15_p26,computation,110,237,237,0,0.0,15,0,False,-1.0,,,,10,2
20_p15,computation,115,134,134,0,0.0,7,0,False,1.0,,,,10,2
12_p44,computation,116,136,136,0,0.0,9,0,False,-2.0,,,,10,2
2_p44,computation,126,149,149,0,0.0,8,0,False,1.0,,,,10,2
0_p24,computation,106,126,126,0,0.0,6,0,False,1.0,,,,10,2
5_p21,computation,113,134,134,0,0.0,10,0,False,2.0,,,,10,2
5_p3,computation,106,128,128,0,0.0,6,0,False,1.0,,,,10,2
4_p47,computation,117,136,136,0,0.0,10,0,False,5.0,,,,10,2
22_p33,computation,108,131,131,0,0.0,10,0,False,4.0,,,,10,2
6_p47,computation,121,134,134,0,0.0,8,0,False,1.0,,,,10,2
20_p29,computation,115,235,235,0,0.0,10,0,False,-1.0,,,,10,2
3_p15,computation,115,132,132,0,0.0,4,0,False,1.0,,,,10,2
6_p46,computation,111,130,130,0,0.0,6,0,False,3.0,,,,10,2
12_p17,computation,122,140,140,0,0.0,8,0,False,-1.0,,,,10,2
14_p26,computation,115,132,132,0,0.0,6,0,False,-1.0,,,,10,2
0_p34,computation,123,231,231,0,0.0,14,0,False,-1.0,,,,10,2
5_p37,computation,113,239,239,0,0.0,15,0,False,-1.0,,,,10,2
21_p9,computation,117,144,144,0,0.0,6,0,False,3.0,,,,10,2
4_p33,computation,109,131,131,0,0.0,10,0,False,4.0,,,,10,2
15_p19,computation,117,231,231,0,0.0,5,0,False,1.0,,,,10,2
18_p30,computation,126,235,235,0,0.0,16,0,False,1.0,,,,10,2
11_p31,computation,111,132,132,0,0.0,10,0,False,3.0,,,,10,2
20_p40,computation,112,130,130,0,0.0,8,0,False,1.0,,,,10,2
5_p35,computation,112,130,130,0,0.0,8,0,False,1.0,,,,10,2
10_p45,computation,122,134,134,0,0.0,10,0,False,-3.0,,,,10,2
3_p0,computation,111,130,130,0,0.0,6,0,False,3.0,,,,10,2
18_p34,computation,112,126,126,0,0.0,11,0,False,2.0,,,,10,2
8_p19,computation,114,134,134,0,0.0,10,0,False,-5.0,,,,10,2
4_p8,computation,112,130,130,0,0.0,8,0,False,1.0,,,,10,2
14_p9,computation,112,130,130,0,0.0,8,0,False,1.0,,,,10,2
6_p47,computation,122,147,147,0,0.0,9,0,False,-1.0,,,,10,2
6_p16,computation,126,142,142,0,0.0,10,0,False,-5.0,,,,10,2
6_p14,computation,119,138,138,0,0.0,8,0,False,1.0,,,,10,2
10_p11,computation,124,128,128,0,0.0,9,0,False,2.0,,,,10,2
18_p38,computation,118,140,140,0,0.0,8,0,False,2.0,,,,10,2
4_p8,computation,122,241,241,0,0.0,5,0,False,1.0,,,,10,2
14_p43,computation,122,147,147,0,0.0,10,0,False,2.0,,,,10,2
2_p46,computation,122,245,245,0,0.0,5,0,False,1.0,,,,10,2
19_p43,computation,114,139,139,0,0.0,10,0,False,3.0,,,,10,2
12_p13,computation,115,134,134,0,0.0,8,0,False,1.0,,,,10,2
19_p45,computation,112,129,129,0,0.0,8,0,False,1.0,,,,10,2
18_p45,computation,126,136,136,0,0.0,8,0,False,2.0,,,,10,2
5_p32,computation,111,132,132,0,0.0,7,0,False,2.0,,,,10,2
21_p31,computation,114,134,134,0,0.0,8,0,False,4.0,,,,10,2
5_p45,computation,122,147,147,0,0.0,12,0,False,3.0,,,,10,2
4_p37,computation,114,134,134,0,0.0,6,0,False,2.0,,,,10,2
6_p1,computation,115,132,132,0,0.0,10,0,False,2.0,,,,10,2
14_p0,computation,113,134,134,0,0.0,10,0,False,4.0,,,,10,2
16_p1,computation,117,156,156,0,0.0,6,0,False,3.0,,,,10,2
10_p16,computation,129,275,275,0,0.0,3,0,False,1.0,,,,10,2
16_p46,computation,125,136,136,0,0.0,8,0,False,-1.0,,,,10,2
22_p6,computation,122,233,233,0,0.0,14,0,False,-1.0,,,,10,2
8_p15,computation,109,126,126,0,0.0,10,0,False,2.0,,,,10,2
6_p27,computation,109,131,131,0,0.0,8,0,False,4.0,,,,10,2
3_p44,computation,115,132,132,0,0.0,10,0,False,3.0,,,,10,2
11_p46,computation,123,231,231,0,0.0,12,0,False,-1.0,,,,10,2
5_p12,computation,122,134,134,0,0.0,10,0,False,2.0,,,,10,2
14_p23,computation,112,131,131,0,0.0,2,0,False,1.0,,,,10,2
15_p45,computation,122,141,141,0,0.0,8,0,False,1.0,,,,10,2
11_p3,computation,112,148,148,0,0.0,8,0,False,1.0,,,,10,2
14_p17,computation,124,144,144,0,0.0,9,0,False,2.0,,,,10,2
5_p23,computation,121,144,144,0,0.0,3,0,False,4.0,,,,10,2
16_p23,computation,126,135,135,0,0.0,8,0,False,1.0,,,,10,2
7_p46,computation,109,126,126,0,0.0,4,0,False,-1.0,,,,10,2
1_p42,computation,122,134,134,0,0.0,10,0,False,2.0,,,,10,2
7_p46,computation,114,146,146,0,0.0,8,0,False,2.0,,,,10,2
10_p20,computation,116,132,132,0,0.0,6,0,False,1.0,,,,10,2
17_p4,computation,115,132,132,0,0.0,8,0,False,2.0,,,,10,2
0_p37,computation,122,237,237,0,0.0,5,0,False,-1.0,,,,10,2
10_p35,computation,115,148,148,0,0.0,7,0,False,2.0,,,,10,2
9_p5,computation,122,144,144,0,0.0,8,0,False,1.0,,,,10,2
10_p19,computation,116,134,134,0,0.0,9,0,False,4.0,,,,10,2
13_p7,computation,118,253,257,4,0.015810276679841896,15,0,False,-0.28600000000000003,,,,10,2
12_p10,computation,112,129,129,0,0.0,8,0,False,2.0,,,,10,2
21_p13,computation,126,233,233,0,0.0,12,0,False,-1.0,,,,10,2
0_p45,computation,122,233,233,0,0.0,14,0,False,1.0,,,,10,2
9_p32,computation,116,133,133,0,0.0,10,0,False,2.0,,,,10,2
20_p46,computation,126,263,267,4,0.015209125475285171,9,0,False,5.0,,,,10,2
8_p20,computation,126,136,136,0,0.0,8,0,False,2.0,,,,10,2
14_p40,computation,119,145,145,0,0.0,7,0,False,1.0,,,,10,2
16_p41,computation,115,132,132,0,0.0,8,0,False,1.0,,,,10,2
18_p17,computation,112,129,129,0,0.0,8,0,False,1.0,,,,10,2
21_p8,computation,125,142,142,0,0.0,8,0,False,1.0,,,,10,2
7_p38,computation,128,146,146,0,0.0,6,0,False,1.0,,,,10,2
10_p26,computation,110,131,131,0,0.0,8,0,False,1.0,,,,10,2
1_p46,computation,122,241,241,0,0.0,10,0,False,1.0,,,,10,2
13_p13,computation,111,131,131,0,0.0,8,0,False,3.0,,,,10,2
0_p27,computation,122,134,134,0,0.0,6,0,False,1.0,,,,10,2
15_p21,computation,126,127,127,0,0.0,4,0,False,1.0,,,,10,2
2_p43,computation,112,131,131,0,0.0,6,0,False,4.0,,,,10,2
11_p7,computation,126,233,233,0,0.0,14,0,False,-1.0,,,,10,2
16_p47,computation,116,226,226,0,0.0,14,0,False,-1.0,,,,10,2
6_p47,computation,114,250,258,8,0.032,11,0,False,-1.334,,,,10,2
0_p36,computation,123,159,159,0,0.0,13,0,False,1.0,,,,10,2
14_p36,computation,122,134,134,0,0.0,10,0,False,2.0,,,,10,2
21_p1,computation,123,152,152,0,0.0,7,0,False,1.0,,,,10,2
21_p0,computation,114,133,133,0,0.0,10,0,False,-3.0,,,,10,2
17_p27,computation,116,132,132,0,0.0,4,0,False,1.0,,,,10,2
7_p42,computation,122,261,265,4,0.01532567049808429,9,0,False,-0.5,,,,10,2
22_p29,computation,121,144,144,0,0.0,3,0,False,2.0,,,,10,2
18_p26,computation,120,143,143,0,0.0,10,0,False,3.0,,,,10,2
4_p15,computation,126,263,267,4,0.015209125475285171,5,0,False,0.6699999999999999,,,,10,2
13_p14,computation,117,140,140,0,0.0,4,0,False,1.0,,,,10,2
22_p45,computation,115,134,134,0,0.0,10,0,False,2.0,,,,10,2
18_p23,computation,121,159,159,0,0.0,4,0,False,1.0,,,,10,2
14_p11,computation,125,136,136,0,0.0,10,0,False,-2.0,,,,10,2
20_p11,computation,116,132,132,0,0.0,8,0,False,1.0,,,,10,2
14_p36,computation,115,133,133,0,0.0,7,0,False,2.0,,,,10,2
8_p18,computation,127,258,266,8,0.031007751937984496,17,0,False,0.44399999999999995,,,,10,2
20_p44,computation,119,142,142,0,0.0,9,0,False,-1.0,,,,10,2
11_p43,computation,122,253,257,4,0.015810276679841896,9,0,False,-0.5,,,,10,2
19_p6,computation,114,134,134,0,0.0,6,0,False,1.0,,,,10,2
10_p16,computation,115,134,134,0,0.0,8,0,False,1.0,,,,10,2
21_p34,computation,124,255,259,4,0.01568627450980392,9,0,False,-0.5,,,,10,2
13_p30,computation,119,255,259,4,0.01568627450980392,15,0,False,-0.2857142857142858,,,,10,2
19_p16,computation,123,167,167,0,0.0,8,0,False,2.0,,,,10,2
2_p8,computation,121,143,143,0,0.0,7,0,False,2.0,,,,10,2
21_p40,computation,122,247,247,0,0.0,5,0,False,1.0,,,,10,2
2_p42,computation,121,143,143,0,0.0,6,0,False,4.0,,,,10,2
11_p23,computation,118,140,140,0,0.0,4,0,False,-1.0,,,,10,2
14_p36,computation,122,141,141,0,0.0,6,0,False,1.0,,,,10,2
8_p29,computation,117,147,147,0,0.0,9,0,False,1.0,,,,10,2
8_p19,computation,114,134,134,0,0.0,6,0,False,1.0,,,,10,2
12_p29,computation,123,137,137,0,0.0,3,0,False,-1.0,,,,10,2
19_p12,computation,126,255,255,0,0.0,5,0,False,-1.0,,,,10,2
9_p38,computation,114,235,235,0,0.0,5,0,False,1.0,,,,10,2
19_p6,computation,115,136,136,0,0.0,6,0,False,1.0,,,,10,2
10_p40,computation,116,131,131,0,0.0,8,0,False,1.0,,,,10,2
19_p25,computation,114,134,134,0,0.0,4,0,False,1.0,,,,10,2
18_p44,computation,116,134,134,0,0.0,10,0,False,-3.0,,,,10,2
1_p40,computation,116,131,131,0,0.0,4,0,False,-1.0,,,,10,2
21_p39,computation,124,147,147,0,0.0,7,0,False,1.0,,,,10,2
15_p30,computation,119,230,230,0,0.0,14,0,False,1.0,,,,10,2
13_p4,computation,122,144,144,0,0.0,8,0,False,4.0,,,,10,2
18_p46,computation,120,151,151,0,0.0,9,0,False,1.0,,,,10,2
5_p24,computation,129,255,259,4,0.01568627450980392,9,0,False,-0.5,,,,10,2
12_p30,computation,116,131,131,0,0.0,8,0,False,2.0,,,,10,2
10_p33,computation,129,253,257,4,0.015810276679841896,13,0,False,-0.5,,,,10,2
4_p10,computation,126,127,127,0,0.0,4,0,False,1.0,,,,10,2
1_p0,computation,123,249,249,0,0.0,5,0,False,1.0,,,,10,2
22_p29,computation,126,257,261,4,0.01556420233463035,15,0,False,-0.27,,,,10,2
12_p13,computation,126,257,261,4,0.01556420233463035,15,0,False,-0.2669999999999999,,,,10,2
0_p19,computation,129,251,251,0,0.0,5,0,False,1.0,,,,10,2
2_p36,computation,119,152,152,0,0.0,5,0,False,1.0,,,,10,2
6_p38,computation,132,259,267,8,0.03088803088803089,9,0,False,0.3330000000000002,,,,10,2
8_p21,computation,128,258,262,4,0.015503875968992248,7,0,False,1.5,,,,10,2
21_p14,computation,119,132,132,0,0.0,8,0,False,-1.0,,,,10,2
20_p21,computation,122,141,141,0,0.0,8,0,False,-1.0,,,,10,2
16_p8,computation,124,144,144,0,0.0,8,0,False,1.0,,,,10,2
13_p47,computation,129,255,259,4,0.01568627450980392,9,0,False,-0.5,,,,10,2
8_p47,computation,118,131,131,0,0.0,11,0,False,3.0,,,,10,2
19_p14,computation,127,141,141,0,0.0,11,0,False,-3.0,,,,10,2
19_p7,computation,119,132,132,0,0.0,10,0,False,2.0,,,,10,2
16_p36,computation,130,233,233,0,0.0,12,0,False,1.0,,,,10,2
18_p1,computation,120,136,136,0,0.0,4,0,False,1.0,,,,10,2
3_p27,computation,129,142,142,0,0.0,6,0,False,1.0,,,,10,2
21_p46,computation,120,234,234,0,0.0,12,0,False,-3.0,,,,10,2
16_p11,computation,118,136,136,0,0.0,8,0,False,1.0,,,,10,2
17_p40,computation,124,144,144,0,0.0,6,0,False,1.0,,,,10,2
3_p6,computation,129,253,257,4,0.015810276679841896,15,0,False,-0.5,,,,10,2
12_p31,computation,126,143,143,0,0.0,6,0,False,-1.0,,,,10,2
10_p27,computation,135,148,148,0,0.0,8,0,False,1.0,,,,10,2
15_p5,computation,129,253,257,4,0.015810276679841896,7,0,False,-0.7999999999999998,,,,10,2
18_p31,computation,134,146,146,0,0.0,8,0,False,-1.0,,,,10,2
20_p20,computation,123,155,155,0,0.0,4,0,False,1.0,,,,10,2
4_p13,computation,118,140,140,0,0.0,8,0,False,4.0,,,,10,2
9_p32,computation,123,251,251,0,0.0,5,0,False,1.0,,,,10,2
18_p2,computation,128,145,145,0,0.0,6,0,False,1.0,,,,10,2
0_p39,computation,128,146,146,0,0.0,8,0,False,1.0,,,,10,2
14_p23,computation,126,255,255,0,0.0,5,0,False,-1.0,,,,10,2
14_p16,computation,119,139,139,0,0.0,4,0,False,1.0,,,,10,2
22_p46,computation,127,140,140,0,0.0,10,0,False,2.0,,,,10,2
14_p13,computation,129,257,253,-4,-0.01556420233463035,5,-1,False,1.0,,,,10,2
20_p27,computation,125,231,231,0,0.0,5,0,False,1.0,,,,10,2
21_p17,computation,135,148,148,0,0.0,8,0,False,1.0,,,,10,2
22_p20,computation,123,143,143,0,0.0,8,0,False,-1.0,,,,10,2
1_p41,computation,128,271,271,0,0.0,5,0,False,1.0,,,,10,2
19_p16,computation,139,150,150,0,0.0,6,0,False,1.0,,,,10,2
4_p39,computation,127,251,259,8,0.03187250996015936,17,0,False,0.11099999999999999,,,,10,2
12_p3,computation,129,147,147,0,0.0,6,0,False,1.0,,,,10,2
17_p40,computation,124,149,149,0,0.0,8,0,False,-1.0,,,,10,2
19_p35,computation,126,255,255,0,0.0,3,0,False,2.0,,,,10,2
21_p3,computation,137,146,146,0,0.0,4,0,False,1.0,,,,10,2
1_p12,computation,122,134,134,0,0.0,8,0,False,-1.0,,,,10,2
19_p30,computation,133,235,235,0,0.0,10,0,False,-1.0,,,,10,2
